Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Louisville,40,14_4,35_5,115.9,84.5,18.3,27,50.8,43.4,33.3,31.8,40,34.9,1
Florida,37,14_4,29_8,115.7,85.7,17.8,22.5,54.3,41.8,37.8,31,31,29.9,2
Indiana,36,14_4,29_7,121,89.7,19.3,20.9,52,43.2,40.3,30.4,45.8,27,3
Gonzaga,34,16_0,31_3,118.9,90.2,17.2,20.8,55,42.1,36.5,32.9,40.8,29.9,4
Syracuse,40,11_7,30_10,113,87,18.9,23.6,48.5,42.6,33.4,28.4,36.8,35.4,5
Michigan,38,12_6,30_8,121.5,93.7,14.6,18.7,53.4,47.6,37.9,32.6,28.4,22.7,6
Kansas,37,14_4,31_6,111.6,86.2,20.3,18.4,52.9,39.3,36.4,30.3,39.5,32,7
Duke,36,14_4,30_6,118.4,91.5,15.6,20.4,50.8,46.2,39.9,29,39.2,32.7,8
Ohio St.,37,13_5,29_8,113.6,89.4,16.2,20.7,49.4,43.6,35.6,32.4,35.5,29.5,9
Wisconsin,35,12_6,23_12,107.2,84.3,15.7,18,48,42.8,33,28.9,29.7,25.7,10
Michigan St.,35,13_5,26_9,111.4,87.8,20.8,19.2,50.4,44.3,34.1,30.1,36.6,32.4,11
Georgetown,32,14_4,25_7,107.6,85,20.1,22.4,50.2,41.4,35.3,30.7,36.8,35.3,12
Arizona,35,12_6,27_8,114.4,92.2,19.5,19.8,50.6,43.4,37.1,35.8,37.4,32.9,13
Pittsburgh,33,12_6,24_9,112.8,91.1,18.1,22,51.5,44,34.9,30.4,37.5,36.4,14
Miami FL,36,15_3,29_7,112.4,90.8,16.7,18.4,50.6,44,36.2,32.6,34.6,28.3,15
VCU,36,12_4,27_9,113.8,92.1,16.9,28.5,50.5,50.1,35.1,32.9,29.8,40.3,16
Saint Louis,35,13_3,28_7,108,87.5,17.6,23.6,50,44.1,34,33.1,44,35,17
Creighton,36,13_5,28_8,116.4,95,18.9,16.1,55.7,45.5,41.4,31.2,34.2,26.1,18
Minnesota,34,8_10,21_13,112.6,92.5,21.6,20.2,48.8,42.8,33.7,33.9,41.6,36.7,19
Wichita St.,39,12_6,30_9,110.6,91,19.4,20,49.6,43.6,33.9,32.2,36.5,38.3,20
Marquette,35,14_4,26_9,113,93.2,20.9,19.5,51.6,44.9,29.6,32.3,40.9,31.7,21
Oklahoma St.,33,13_5,24_9,107.1,88.6,18.2,21.7,49.5,42.4,31.6,32.4,40.5,35.1,22
Iowa,37,9_9,24_13,109.1,90.5,18.6,19.7,47.1,43.7,29.9,29.7,40.8,31.2,23
Saint Mary's,34,14_2,27_7,113.9,94.9,18.3,17.9,52.3,44,37.3,36.7,37,36.9,24
North Carolina,35,12_6,24_11,111.6,93,17.2,21.5,46.3,46.3,37.2,34.4,28.2,27.1,25
Kansas St.,34,14_4,26_8,113.4,94.5,18.2,22.2,46.8,46.5,35.8,33.3,31.7,36.8,26
Iowa St.,35,11_7,23_12,117.2,98.3,18.5,18.6,51.9,48.8,37.4,31.1,33,32.7,27
Missouri,34,11_7,23_11,113.3,95.2,18.9,17.6,51.4,44.1,33.9,33.2,35,29.7,28
Virginia,35,11_7,23_12,107.4,90.3,18.2,20.9,48.9,42.7,38.5,31.2,31.6,31.8,29
Colorado St.,33,11_5,24_9,116.6,98.4,17.2,16.5,48.4,47.1,34.1,34.1,44.1,36.4,30
San Diego St.,32,9_7,21_11,106,89.5,18.1,18.2,48.3,43.3,32.7,31.8,35.3,28.9,31
Illinois,34,8_10,21_13,109.8,92.7,17.6,21.7,47.4,47.4,31.7,34.1,31,36,32
UNLV,34,10_6,24_10,104.7,88.4,20.2,18.5,48.9,42.6,32.6,31.6,36.7,29.6,33
Notre Dame,35,11_7,25_10,112.9,95.4,17.6,16,50.6,45.9,37,32.5,32,24.6,34
Cincinnati,34,9_9,22_12,104.5,88.3,19.4,20.3,45.5,42.3,31.6,30.4,35.5,32.7,35
Oregon,37,12_6,28_9,104.8,88.6,21.4,22,49.1,44.9,33.3,33.4,38.4,33.3,36
Baylor,36,9_9,22_14,112.4,95.3,17.2,18.7,51.1,44.7,34.9,32.2,36.3,33.3,37
Memphis,36,16_0,31_5,106.1,90.2,20.7,22.1,51.1,43.8,37.2,33,37.2,34.9,38
North Carolina St.,35,11_7,24_11,115.2,98,18,16.6,52.8,47.5,39.1,30.2,40.9,29,39
New Mexico,35,13_3,29_6,107,91.1,17.6,19.5,46.1,42,35.1,34.6,45.7,25.7,40
Butler,35,11_6,26_9,109.2,93,20.2,17.4,50.2,45.3,34.3,33.2,38.4,36.1,41
La Salle,34,11_5,24_10,112,96.2,17.1,21.3,49.3,50.6,37.7,30.2,31.3,28.5,42
Colorado,33,10_8,21_12,104.9,90.2,20,19.4,47,44.7,34.4,32,40.9,25.3,43
Villanova,33,10_8,19_14,105.3,90.5,22.9,22,46,42.4,33.2,37.3,50.6,40.9,44
UCLA,35,13_5,25_10,110,94.8,15.8,19.9,48.9,46.9,33.3,32.4,33.1,24.6,45
Stanford,34,9_9,19_15,109.1,94.1,17.3,19.2,44.3,45.7,35.9,33.3,33.4,33.7,46
Connecticut,30,10_8,20_10,108.7,93.9,18.2,20.1,49.5,44.4,34,31.5,36.9,31,47
Middle Tennessee,34,19_1,28_6,105.1,91,20.7,23.6,49.2,43.9,37.7,30.3,41.4,42.8,48
Oklahoma,32,11_7,20_12,110.3,95.6,17.5,19.6,47.6,46.4,32.3,32.9,35.4,31.4,49
Mississippi,36,12_6,27_9,110,95.6,15.9,21.5,49.4,46.2,32.4,31.3,38.8,31.1,50
Denver,32,16_2,22_10,109,94.8,18.6,26.2,56.1,46.5,37.5,33.1,31.2,41,51
Boise St.,30,9_7,19_11,112,97.4,18.4,20,48.4,51,38.7,34.8,33.7,42.2,52
Maryland,38,8_10,25_13,106.1,92.7,22.2,15.7,51.9,42.7,33.9,30.3,34.5,29.7,53
Alabama,35,12_6,22_13,102.6,89.7,19.9,22.6,47.1,45.2,33,31.3,33.9,32.7,54
Temple,34,11_5,24_10,110.7,96.9,15.9,20.1,48.8,47.3,32.8,35.3,35.6,34.1,55
California,33,12_6,21_12,105.4,92.3,18.9,16.8,48.8,41.7,30.2,33.6,31.2,32.5,56
BYU,35,10_6,23_12,109.1,95.8,17,19.3,50.2,47.1,33.5,33.3,36,37.6,57
Kentucky,33,12_6,21_12,109.7,96.7,19.4,17.6,52.9,42,34.6,32.4,41.7,30.2,58
Southern Miss,35,12_4,25_10,109.4,96.5,22,24.3,51.8,47.8,37.4,32.9,36.5,40.6,59
Belmont,31,14_2,24_7,108.9,96.2,19.6,25,56.9,46.7,37.2,33.5,32.8,37,60
Purdue,34,8_10,16_18,106.2,94.2,19,17,45.7,43.9,32,32.8,33.5,33.3,61
Davidson,33,17_1,25_8,110.6,98.3,17,18.8,52,44.3,36.6,32.1,38.9,36.4,62
Illinois St.,33,8_10,18_15,108.3,96.3,18.7,21,51.7,47.3,34.7,33.4,34.4,34,63
Dayton,31,7_9,17_14,111.8,99.4,21.7,21,51.1,47.4,38.4,35.3,39.7,37.5,64
Bucknell,33,12_2,27_6,104.7,93.1,15.1,14.1,48.3,41.1,35.8,30.5,35.7,29.4,65
Providence,34,9_9,19_15,106.8,95.2,19.1,19.8,45.7,46.9,31,29.7,37.4,33,66
Tennessee,33,11_7,20_13,108.3,96.7,20.1,17.4,48.2,45.6,31.6,31.9,42.2,34.4,67
Stony Brook,32,14_2,24_8,104.3,93.2,18.3,20.5,48.1,42.4,35.4,31.2,37.7,26.7,68
Arizona St.,35,9_9,22_13,107.5,96.3,18.5,18.1,52.5,44.5,34.6,33.7,35.9,26.6,69
Xavier,31,10_7,17_14,105.1,94.3,20.4,18.6,49.2,45.8,35,32.1,41.4,33.3,70
Saint Joseph's,32,8_8,18_14,107.4,96.8,18.7,16.2,50,45.6,34.2,31.4,36.2,23.8,71
Santa Clara,36,9_7,24_12,108.8,98.2,18.3,21.1,48.9,45.8,35.8,34.3,37,42,72
Arkansas,32,10_8,19_13,105.3,95.1,16.3,24.6,50,46.9,30,35.9,35.1,44.4,73
Washington,34,9_9,18_16,106.5,96.2,19.8,18.4,47,47,34.3,34.2,33.8,32.3,74
Stephen F. Austin,28,16_2,23_5,98,88.7,20.5,22.6,50.9,41.4,32.8,29.7,40.4,35.5,75
Richmond,34,8_8,19_15,109.2,98.9,18.6,22.8,49.4,48.4,37.8,33.9,43.2,43,76
Valparaiso,33,13_3,25_8,107.8,97.9,21.8,19.5,55.7,44.5,37.1,33.8,41.7,36.8,77
Ohio,34,14_2,24_10,105,95.4,18.5,25.5,54.3,46.5,35.1,33.1,31.3,45.9,78
Weber St.,35,18_2,28_7,107.3,97.5,18.7,16.6,53.7,44.7,40.6,28.9,39.6,33.6,79
Northern Iowa,34,11_7,20_14,104,94.6,19,19.7,48.6,47.7,36.4,34.1,33.2,25.1,80
Rutgers,31,5_13,15_16,107.3,97.9,21.3,19.6,47,47.7,35.7,32.2,32.4,39.8,81
Massachusetts,33,9_7,21_12,106.7,97.4,20.3,18.9,48.9,46.9,33.6,32.4,35.8,35,82
Akron,32,14_2,25_7,103.4,94.4,20.8,20.2,52.1,42.7,32.7,32.8,36.9,35,83
Georgia Tech,31,6_12,16_15,99.6,91.1,19.3,19,46.4,43.8,31.8,32.3,28,33,84
Oregon St.,32,4_14,14_18,109,100,19.6,17.6,47.8,47.1,36.4,34.4,37,30.1,85
Evansville,35,10_8,20_15,104.8,96.2,16.9,21.5,46,49.7,36.7,35.2,31.1,34.4,86
St. John's,33,8_10,17_16,99.4,91.5,16.7,20.2,45.6,43.6,27.1,33.1,28.9,28.9,87
North Dakota St.,32,12_4,22_10,102.1,94.2,18.1,18.1,52.3,42.3,35.8,32.4,28.4,35.4,88
Detroit,31,12_4,18_13,111,102.5,15.5,22.9,51.1,52.2,33.5,36.7,35.8,35.6,89
LSU,31,9_9,19_12,105.4,97.4,20.5,21.6,46.9,46.9,35.6,31.5,33.4,38,90
Vanderbilt,33,8_10,16_17,101.6,93.9,19.5,18.5,45.3,45.7,35,31.1,35.1,33.5,91
Washington St.,32,4_14,13_19,106.3,98.3,19.1,19.4,47.9,47.9,34.7,34.8,34.1,31.7,92
Princeton,26,10_4,16_10,107.9,100.1,20.3,20.8,49.9,47,41,34.2,34.6,37.6,93
Texas,33,7_11,16_17,101.3,94,21.4,19.1,46,42.8,30.1,28.9,40.4,41.9,94
New Mexico St.,34,14_4,23_11,102.5,95.3,21.9,18.6,49.8,43.2,31.8,33.9,47,30.7,95
Iona,34,11_7,20_14,112.8,105,17.1,19.3,50.4,49.1,36.7,37.5,32.7,32.2,96
Florida Gulf Coast,35,13_5,24_11,103.4,96.3,21,22.1,52.3,46.9,33.4,31.3,35.2,32.7,97
USC,32,9_9,14_18,101.5,94.5,19.5,17.6,45.7,44.7,34.2,34.5,30,37.6,98
Utah,31,5_13,13_18,104.1,97.1,20,16.9,46.6,44.8,35.5,33.9,31.1,30.6,99
Seton Hall,33,3_15,15_18,103.5,96.7,23.8,19.4,48.6,44.6,36.7,34,34.5,39.1,100
Georgia,32,9_9,15_17,100.9,94.4,23,18.5,43.5,42.3,35.7,32.9,45,37.9,101
Louisiana Tech,33,16_2,26_7,98.9,92.6,17.7,24.6,45.7,45.3,31.9,29.6,35.5,36.2,102
Boston College,33,7_11,16_17,108.6,102,17.7,17.9,49.7,48.7,35.3,37.5,39.7,29.1,103
Texas A&M,33,7_11,18_15,103.1,97,21,21.9,47.1,46,35.6,33.5,32.9,35.7,104
George Washington,30,7_9,13_17,98.8,93,23.4,21.3,47.7,44.6,27.9,36,40.4,32.7,105
Lehigh,30,10_4,20_10,106.5,100.4,16.4,20.4,49.8,49.2,39.4,29.8,36.4,28.6,106
Indiana St.,32,9_9,17_15,100.5,94.7,19.6,18.2,48.4,45.6,32,32.4,42.1,38.7,107
Fresno St.,28,5_11,9_19,98.1,92.6,18.5,20.2,39.9,46.7,33.7,28.1,37.3,47.1,108
South Dakota St.,32,13_3,22_10,109.7,103.7,16.4,17.1,50.4,49.8,38.9,35.8,33,24.4,109
Clemson,31,5_13,13_18,99.2,93.7,18.4,20.4,47.1,44.4,31.7,34.8,33.1,32.9,110
UTEP,32,10_6,18_14,102.1,96.6,19.7,19.7,49.6,44.9,35.1,34,42.6,34.8,111
Air Force,30,8_8,16_14,109.2,103.5,18.5,19.1,52.9,54.2,38.1,32.4,30.8,36.6,112
Nebraska,33,5_13,15_18,101.4,96.1,17.3,18,45.1,48,30.7,33.4,28.4,38.9,113
St. Bonaventure,29,7_9,14_15,107.9,102.5,20,21.5,49,49.4,37.5,37,39.9,41.3,114
Northwestern,32,4_14,13_19,103.4,98.3,17.3,19,44.7,46.5,34.1,34.6,33.9,37.8,115
Wright St.,35,10_6,22_13,96.2,91.6,20.3,24.3,48.4,47.3,34.6,30.5,33,43.5,116
Harvard,29,11_3,19_10,104.9,99.9,20.8,20.9,51.5,48.9,39.8,33.3,49.6,31.2,117
Florida St.,34,9_9,18_16,105.4,100.4,22,20.6,48.9,47.1,34.8,36.8,40.4,34.8,118
Canisius,34,11_7,20_14,109.1,104.3,19.6,19.8,48.9,50.4,38.6,33.6,34.3,32.4,119
Drake,31,7_11,14_17,105.5,100.9,19.8,18.8,48.9,50.2,37.9,35.6,37.5,38.5,120
Eastern Kentucky,33,12_4,23_10,108.4,103.7,17.9,25.5,55.4,53.3,35,31.5,34.8,43.7,121
Kent St.,34,9_7,20_14,106.6,102.1,18.9,20.8,46.3,49.5,35.8,31,43.8,41.3,122
East Carolina,30,9_6,19_11,107.3,102.8,18.2,18.8,50.9,48.3,34.9,33.7,39.9,33.5,123
West Virginia,32,6_12,13_19,103.5,99.3,19.8,21.8,44.9,48,31.6,38.1,40.8,40,124
George Mason,38,10_8,22_16,102.4,98.3,20.3,21.8,47.1,45.8,34.6,33.3,35.3,44.5,125
Wyoming,32,4_12,18_14,99.7,95.8,18.7,21.4,50.8,48.2,31.8,32.3,39.8,33,126
UCF,28,8_7,17_11,105.5,101.5,20.7,18.7,51.4,49.5,34.5,31.3,41,25.9,127
Charlotte,33,8_8,21_12,99.8,96.1,22.3,20.2,49.2,45.3,26.8,33.3,44.8,39.3,128
Loyola MD,35,12_6,23_12,102.3,98.5,18.4,20.9,47.6,46.2,29.9,30,41,42.4,129
Robert Morris,35,14_4,24_11,103.8,99.9,19.2,24.6,46.7,51.1,38.1,33.2,37,46,130
Penn St.,31,2_16,10_21,101.5,97.8,18.9,17.5,44.1,48,29.6,34.4,37.1,51.1,131
Mercer,34,14_4,22_12,102.3,98.6,19.5,21.8,48.4,43.7,35.4,34.5,35.6,40.3,132
Utah St.,30,11_7,20_10,106.5,102.8,20.9,15,51.6,46,35.3,33.8,40.5,30.7,133
Pacific,33,13_5,20_13,104.7,101.1,17.8,20,46.8,48,38.9,35.4,37.7,39.3,134
Wake Forest,31,6_12,13_18,99.6,96.5,20.7,20.5,47.1,49.5,34.5,35.9,43.7,35.5,135
South Florida,31,3_15,12_19,99.8,96.9,17.7,19.6,43.2,48.5,31.3,29.9,29.2,30.5,136
San Francisco,29,7_9,13_16,105.2,102.3,18.1,17.4,48,49.2,40.1,34.1,34.6,32.4,137
Green Bay,33,10_6,17_16,101.5,98.8,20.8,18,47.3,45.8,33,34,40.2,33.9,138
College of Charleston,34,14_4,24_10,101.4,98.7,20.6,15.5,49.4,45,34.5,30,38.5,26.9,139
Vermont,33,11_5,21_12,101.8,99.2,20.6,20.6,48.7,45.3,32.2,32.7,44.8,33.8,140
Niagara,33,13_5,19_14,105.2,102.6,16.4,22.5,47.9,50,32.7,36.5,38,40.6,141
Northwestern St.,28,15_3,19_9,104.8,102.1,19.2,21.7,50,46.8,31,33.9,40.3,40.5,142
Albany,35,9_7,24_11,101.2,98.7,21.2,19.9,46.7,47.6,37,33.1,40,27.8,143
DePaul,32,2_16,11_21,105.6,103.2,19.8,21.5,48.3,50.4,29.9,36.5,31.7,36.2,144
Oral Roberts,34,13_5,19_15,104.5,102.1,20.5,18.7,49.3,47.8,34.5,35.4,38,27.5,145
UAB,32,7_9,15_17,100,98,21.8,22.4,47.9,49,32.8,36.1,29.4,38.6,146
Boston University,30,11_5,17_13,103.2,101.1,18.8,21.5,49.9,47.8,37,31.1,26.5,33.2,147
Tulane,34,6_10,19_15,105.8,103.9,19,20.6,45.2,52.3,35,33.7,46.7,33.5,148
Virginia Tech,32,4_14,13_19,106.1,104.6,17.5,15.5,47.7,48.8,31.4,34.8,36.8,38.1,149
SMU,31,5_11,14_17,100.1,98.7,22.9,21.4,46.9,44.3,34.6,34.4,40.7,39.5,150
Manhattan,32,9_9,14_18,93.7,92.4,25.7,23.1,44.7,43.2,33.7,34.9,45.8,46.6,151
Arkansas St.,30,12_8,18_12,96.8,95.8,18.9,23.1,45.6,45,30.7,33.5,44.2,35.7,152
Murray St.,29,10_6,19_10,103,102,20.5,20.2,52.2,47,35.1,33.5,39,33.5,153
Bradley,35,7_11,18_17,102.8,101.9,17.8,21.7,48.5,49.7,31.9,35.4,29.9,35.3,154
UC Irvine,35,11_7,19_16,98.8,97.9,18.6,16.3,47.4,42.5,32.8,32.3,30.2,37.9,155
Army,30,8_6,15_15,104.2,103.3,20.7,18.6,49.2,46,37.1,35.8,36.9,36.8,156
Fairfield,35,9_9,19_16,95.3,94.6,21.5,21.6,47.8,43.2,31.6,32,28.9,45.6,157
Rhode Island,29,3_13,8_21,99.9,99.4,18.8,19.6,44.6,47.5,32.2,34.2,35.9,40,158
Towson,30,13_5,17_13,101.8,101.6,22.2,16.2,48.7,42.8,31.4,33.9,40.3,37.6,159
Houston,32,7_9,19_13,106,106,18.3,17.9,50.3,49.2,35.9,31.8,39.4,33.7,160
UT Arlington,33,11_7,19_14,96.8,96.7,22.1,22.8,44.3,44.3,34.2,31.9,36.4,43.9,161
Drexel,31,9_9,13_18,100.1,100.1,18.9,18.8,44.9,47.5,33.5,34.2,33.5,43.4,162
Western Michigan,34,10_6,21_13,99.8,99.8,22.3,19.1,48.2,44.4,32,34.5,45.8,35.5,163
Delaware,33,13_5,19_14,102.4,102.5,18.7,15.9,46.2,44.2,30.9,34.4,42,33,164
North Carolina Central,28,15_1,19_9,96.3,96.4,23,22.9,48.8,45.7,33.6,30.4,45.5,38.8,165
Montana,30,19_1,23_7,101.6,101.8,19.1,18.3,52,48,36.4,33.3,40.6,35.9,166
Youngstown St.,31,7_9,15_16,102.1,102.5,17,18.1,46.5,46.5,35.9,35.6,36,35.6,167
Western Kentucky,35,10_10,19_16,100.1,100.4,22.2,20.8,48.3,47.6,32.7,32.4,37.6,37.8,168
Bryant,31,12_6,19_12,107.6,108,19.2,17.6,54.9,51.1,35.6,35.2,37,30.2,169
Charleston Southern,29,12_4,16_13,100.6,101,17.9,19.5,45.6,46.3,35.2,34.4,29.7,29,170
Southern Illinois,30,6_12,13_17,100.2,100.8,19.4,24.2,48.1,51.8,31.8,36.9,34.1,42.5,171
San Diego,32,7_9,14_18,100.9,101.5,20.6,20.4,46.5,50.8,34.8,31.3,37.8,37.7,172
Rider,34,12_6,19_15,96.2,96.8,23.3,20.9,47.7,46.6,34.5,28.8,39.4,38.3,173
Loyola Chicago,30,5_11,14_16,101.2,101.9,20.9,18.4,48.3,48.1,36.5,33.9,35.3,30.5,174
Lafayette,33,10_4,18_15,103.9,104.8,18.7,20.6,49.6,51.2,38.4,36.4,28.2,31.5,175
